unix,date,symbol,open,high,low,close,VolumeAsset,VolumeUSDT,tradecount,change,family
1618185600000.0,2021-04-12 00:00:00,ADA,1.26376,1.348,1.2633,1.31431,559487897.9,730491709.4,952211.0,-4.0,Ouroboros
1618185600000.0,2021-04-12 00:00:00,BNB,525.9275,638.5673,515.1,596.7104,9279328.84,5344661902.25,4170759.0,-13.46,DBFT
1618185600000.0,2021-04-12 00:00:00,BTC,59998.8,61300.0,59350.59,59860.0,56375.04,3393042867.87,1806298.0,0.23,SHA256
1618185600000.0,2021-04-12 00:00:00,BTT,0.0084461,0.0085999,0.0079,0.0079687,40082482826.0,330224215.11,604688.0,5.65,TRON Tokens
1618185600000.0,2021-04-12 00:00:00,DASH,286.62,298.37,272.04,280.48,171130.75,48817340.55,96529.0,2.14,X11
1618185600000.0,2021-04-12 00:00:00,EOS,6.7266,6.865,6.2911,6.4775,24654068.11,162708414.26,292040.0,3.7,DPoS
1618185600000.0,2021-04-12 00:00:00,ETC,20.3606,20.562,18.9746,19.5225,2426158.98,47941996.95,94617.0,4.12,EtHash
1618185600000.0,2021-04-12 00:00:00,ETH,2151.42,2203.46,2102.0,2137.69,579093.36,1244982956.77,914567.0,0.64,EtHash
1618185600000.0,2021-04-12 00:00:00,LINK,33.8811,34.1468,31.8601,33.108,4114028.73,135740510.08,213799.0,2.28,Ethereum Tokens
1618185600000.0,2021-04-12 00:00:00,LTC,252.35,259.94,240.01,244.42,1370860.16,341852773.15,467982.0,3.14,Scrypt
1618185600000.0,2021-04-12 00:00:00,NEO,63.887,64.992,60.714,64.65,1154656.34,72884810.72,120355.0,-1.19,DBFT
1618185600000.0,2021-04-12 00:00:00,QTUM,14.945,16.27,14.36,14.51,4023029.69,60842393.9,118836.0,2.91,PoS
1618185600000.0,2021-04-12 00:00:00,TRX,0.12212,0.13739,0.12154,0.12874,4811133581.9,630912431.29,933211.0,-5.42,DPoS
1618185600000.0,2021-04-12 00:00:00,XLM,0.58445,0.608,0.56614,0.59051,481035300.1,280921887.7,584979.0,-1.04,Stellar
1618185600000.0,2021-04-12 00:00:00,XMR,328.93,345.0,313.67,314.32,221086.95,72872725.87,150531.0,4.44,CryptoNight
