unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1513555200000,2017-12-18 00:00:00,BTC/USDT,18860.04,19300.0,17029.98,18856.25,10624.633071,196339245.745198,91956
1513641600000,2017-12-19 00:00:00,BTC/USDT,18856.25,18950.0,16300.0,17295.2,13210.74822,232790625.92336664,116569
1513728000000,2017-12-20 00:00:00,BTC/USDT,17295.2,17720.35,14777.66,16488.98,13450.496693,221193892.50223887,129762
1513814400000,2017-12-21 00:00:00,BTC/USDT,16480.52,17309.5,14022.0,15492.64,20324.2173,320176825.29037607,117731
1513900800000,2017-12-22 00:00:00,BTC/USDT,15514.03,15699.34,10961.0,13326.61,36076.271175,477509934.71828645,243261
1513987200000,2017-12-23 00:00:00,BTC/USDT,13326.61,14950.0,12978.18,13300.0,13141.538875,184759685.33206663,135005
1514073600000,2017-12-24 00:00:00,BTC/USDT,13300.0,13819.99,11640.0,13500.0,28557.534988,365709589.60302895,173557
1514160000000,2017-12-25 00:00:00,BTC/USDT,13500.0,14300.0,12708.0,13699.34,15748.207607,213139657.6289145,116416
1514246400000,2017-12-26 00:00:00,BTC/USDT,13699.34,16050.0,13533.0,15689.01,15034.668104,224843731.89656883,133133
1514332800000,2017-12-27 00:00:00,BTC/USDT,15709.98,16498.05,14200.15,15459.99,14959.864723,231229932.48204055,142202
1514419200000,2017-12-28 00:00:00,BTC/USDT,15459.97,15539.99,13150.0,14182.11,21717.858014,303401227.98652,178032
1514505600000,2017-12-29 00:00:00,BTC/USDT,14199.14,14981.0,13850.0,14378.9,18072.008116,260911629.21807677,142100
1514592000000,2017-12-30 00:00:00,BTC/USDT,14378.99,14398.85,11750.0,12440.01,19221.158039,247803953.75248587,190204
1514678400000,2017-12-31 00:00:00,BTC/USDT,12345.1,14050.11,12149.98,13716.36,11768.989718,155283285.36704132,138893
1514764800000,2018-01-01 00:00:00,BTC/USDT,13715.65,13818.55,12750.0,13380.0,8609.915844,114799747.44197056,105595
1514851200000,2018-01-02 00:00:00,BTC/USDT,13382.16,15473.49,12890.02,14675.11,20078.092111,279717107.4337192,177728
